Timestamp,Qual nomenclatura é utilizada atualmente para o seu papel na empresa onde você trabalha?,Qual cargo você ocupa atualmente?,Qual é a sua senioridade?,Quantos anos de experiência você tem na área de testes?,Como é a sua relação com automação de testes na empresa onde você trabalha atualmente?,Qual regime de contratação você se encontra na empresa atual?,Modelo de Atuação,Você possui alguma certificação internacional em testes de software?,Em qual moeda seu empregador faz seus pagamentos?,Qual é o seu salário bruto?,Qual é seu gênero?,Em qual região do Brasil você vive atualmente?,Em qual região do Brasil está localizada a empresa onde você trabalha atualmente?,Com que frequência você precisa conversar em inglês no trabalho?,Com qual etnia você se identifica?,Qual é sua formação acadêmica?,(Opcional) Quais linguagens de programação são utilizadas para automação de testes na empresa onde você trabalha?,(Opcional) Quais ferramentas de automação de testes você utiliza na empresa onde você trabalha atualmente?,"(Opcional) A empresa onde você trabalha possui cargo formal de liderança em testes de software? ex. QA Lead, Líder de Testes, Gerente de QA, etc.",(Opcional) Você foi atingido por algum lay off nos últimos 12 meses?,(Opcional) Sua empresa transferiu as responsabilidades relacionadas a teste de software aos desenvolvedores?,(Opcional) Qual relação você possui com Inteligência Artificial e Testes na empresa onde você trabalha arualmente?,(Opcional) Como você conseguiu a oportunidade de participar do processo seletivo da empresa onde você atua hoje em dia?
1/9/2025 9:41:26,QA,Arquiteto,Pleno,7,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,9880,Masculino,Norte,Centro-Oeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,Java,"Selenium, testng, apidog, rest assured, jira",Não,Não,Sim,Nenhum,Linkedin
1/9/2025 9:41:33,QA,Engenheiro,Sênior,7,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Sim,Reais,12000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,,,,,
1/9/2025 9:42:27,QA,Engenheiro,Sênior,15,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,10000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,JavaScript,Cypress,Sim,Não,Sim,Nenhum,Fui abordado por Recrutador
1/9/2025 9:42:51,QA,Analista,Pleno,5,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Exterior),Sim,Dólares Americanos,12000,Masculino,Sul,Outro país,Todos os dias,Branca,Ensino Superior Completo,JavaScript,Playwright,Sim,"Sim, retornei com salário menor",Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 9:42:54,QA,Analista,Pleno,2,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Sim,Reais,6500,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,JavaScript,Cypress,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 9:43:36,Testador,Engenheiro,Trainee,1,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4476,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,,,Sim,Não,Não,Nenhum,Site de Vagas
1/9/2025 9:43:53,QA,Analista,Pleno,5,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,7300,Masculino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,Ruby,,Não,Não,,Nenhum,Indicação Interna
1/9/2025 9:44:04,QA,Engenheiro,Sênior,4,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,9800,Masculino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,C# para testes de API e Javascript para testes Web,Xunit e Cypress,Sim,Não,Não,Uso Inteligência Artificial para Testar,Site de Vagas
1/9/2025 9:44:06,QA,Líder,Sênior,14,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,13550,Masculino,Sudeste,Sudeste,Todos os dias,Branca,Pós-Graduado,"Python, C, C#, Java",,Sim,Não,Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 9:44:48,QA,Engenheiro,Sênior,12,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,11500,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Java, Javascript","Appium, Selenium, RestAssured, Cypress",Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 9:44:49,QA,Analista,Pleno,5,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,7550,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,JavaScript ,"Cypress, Playwright com supertest",Sim,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 9:45:19,QA,Analista,Pleno,10,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6154,Masculino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 9:45:53,QA,Analista,Principal,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Real,5600,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,,,Sim,Não,Não,Nenhum,Site da empresa
1/9/2025 9:48:10,QA,Analista,Estagiário,3,Uso automação de testes em torno de 8 horas por semana,Contrato,100% Remoto (Brasil),Não,Reais,2000,Feminino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Ensino superior incompleto ,Java,Selenium ,Sim,Não,Sim,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 9:48:18,QA,Analista,Pleno,6,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,8770,Masculino,Sudeste,Sudeste,Todos os dias,Parda,Ensino Superior Completo,"Python, JS, TS e C#","Postman, WebdriverIO, JMeter e Cypress",Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 9:49:32,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,8500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,"Java, typescript",Playwright,Não,Não,"Não, mas planejam fazer isso este ano",Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 9:51:23,QA,Analista,Pleno,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java,Rest Assured,Sim,"Sim, retornei com salário maior",Não,Nenhum,Indicação Interna
1/9/2025 9:52:47,QA,Especialista,Sênior,17,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,11117,Masculino,Sudeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,C#,"Selenium, Restsharp",Sim,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 9:55:35,QA,Analista,Pleno,4,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7119,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Prefiro não responder,Superior incompleto ,Javascript ,Cypress ,Não,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 9:56:33,QA,Analista,Júnior,4,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,3950,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,Python,Robot Framework ,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 9:57:16,QA,Analista,Júnior,1,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,2250,Masculino,Centro-Oeste,Centro-Oeste,Todos os dias,Branca,Ensino Superior Completo,,,,,,,
1/9/2025 9:57:46,QA,Especialista,Sênior,8,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,13500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,,,,,
1/9/2025 9:57:46,QA,Analista,Sênior,5,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,13000,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,Javascript,Cypress,Sim,"Sim, retornei com salário menor",Não,Nenhum,Linkedin
1/9/2025 9:59:08,QA,Analista,Júnior,2,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,4700,Feminino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,,Não,Não,Não,Nenhum,Site de Vagas
1/9/2025 10:00:06,QA,Analista,Sênior,6,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,8000,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,"Java e javascript, typescript ",Selenium com java(projeto legado) e playwritgh com Tapyscript,Não,Não,Não,Uso Inteligência Artificial para Testar,Site de Vagas
1/9/2025 10:01:47,QA,Analista,Pleno,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,5600,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,,Sim,Não,Sim,Nenhum,Indicação de colegas 
1/9/2025 10:02:06,QA,Analista,Pleno,12,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6700,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Negra,Pós-Graduado,,,Não,Não,Não,Nenhum,Linkedin
1/9/2025 10:02:24,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,8130,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,,Sim,Não,Não,,programa de estágio
1/9/2025 10:02:51,QA,Analista,Pleno,3,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Presencial,Sim,Reais,5514,Masculino,Norte,Norte,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,Não,Não,Sim,Uso Inteligência Artificial para Testar,Site de Vagas
1/9/2025 10:04:43,QA,Analista,Pleno,10,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7635,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java script ,Cypress ,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 10:05:14,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6871,Masculino,Sul,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,Não,Não,Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Linkedin
1/9/2025 10:07:19,QA,Analista,Pleno,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,6500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java,"Selenium, RestAssured",Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 10:07:45,QA,Analista,Pleno,4,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,7500,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Não tem automação ,Postman ,Não,,Não,Nenhum,Linkedin
1/9/2025 10:08:32,QA,Analista,Sênior,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Não,Reais,6500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,JavaScript ,Cypress,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 10:09:19,QA,Analista,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6200,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,Javascript,Cypress,Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 10:09:43,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,Contrato,100% Remoto (Brasil),Não,Reais,9000,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java e JS,"Playwright, Appium, IntelliJ",Sim,Não,Não,Nenhum,Linkedin
1/9/2025 10:11:04,Testador,Analista,Sênior,15,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,12255,Masculino,Sudeste,Sudeste,Todos os dias,Parda,Pós-Graduado,"Python, Java, Javascript, Typescript ","Robot Framework, Cypress, Selenium, Playwright",Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 10:12:21,SDET,Engenheiro,Sênior,10,Uso automação de testes mais de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,14,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,,,,,
1/9/2025 10:12:52,QA,Analista,Pleno,4,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,5,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java e j script ,Robotframework e Cypress ,Sim,"Sim, retornei com salário menor",Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 10:12:59,QA,Engenheiro,Sênior,12,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,13000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,"Java, Python, Javascript ","Robot, KarateDsl, Cypress",Não,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 10:13:11,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,6106,Masculino,Nordeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,C#,"No momento não estou automatizando, mas utilizam Robot e Postman, mas ainda estão indecisos qual seguir, pois os líderes do cliente querem Selenium e C#.",Sim,"Sim, retornei com salário menor","Não, mas planejam fazer isso este ano",Nenhum,Linkedin
1/9/2025 10:13:14,QA,Especialista,Sênior,8,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Não,Reais,9200,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Robot Framework ,Jira,Não,,"Não, mas planejam fazer isso este ano",Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Site de Vagas
1/9/2025 10:13:51,QA,Analista,Pleno,10,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,8700,Feminino,Sudeste,Sudeste,Todos os dias,Branca,Ensino Superior Completo,,,Não,Não,"Não, mas planejam fazer isso este ano",Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:14:48,QA,Analista,Júnior,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5900,Masculino,Sudeste,Sudeste,Algumas vezes por mês,Parda,Pós-Graduado,,,Sim,"Sim, retornei com salário menor",Sim,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Fui abordado por Recrutador
1/9/2025 10:16:13,SDET,Executor,Sênior,9,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Exterior),Não,Dólares Canadenses,9200,Feminino,Não moro no Brasil,Outro país,Todos os dias,Negra,Ensino Superior Completo,dart,flutter,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 10:17:38,QA,Engenheiro,Pleno,5,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,8500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Java, JS",Rest Assured,Sim,Não,,Nenhum,
1/9/2025 10:18:27,QA,Analista,Júnior,2,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4500,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,C# e Python,Mstest e robot framework ,Não,Não,Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:20:57,SDET,Engenheiro,Sênior,7,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,14000,Masculino,Nordeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,"Playwright, Cypress, K6, Postman, Jest",Sim,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 10:21:25,QA,Analista,Pleno,12,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Não,Reais,8000,Feminino,Sudeste,Sudeste,Algumas vezes por mês,Branca,Pós-Graduado,Python,Robot framework ,Não,Não,Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:21:27,QA,Analista,Pleno,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6318,Masculino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Médio Completo,,,,,,,
1/9/2025 10:22:55,QA,Analista,Júnior,1,Não uso automação de testes,CLT (Carteira Assinada),100% Presencial,Não,Reais,3800,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,JavaScript,"Postman, Cypress",Não,Não,Não,Nenhum,Site de Vagas
1/9/2025 10:23:39,QA,Especialista,Sênior,6,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,9150,Masculino,Sudeste,Nordeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,Javascript,Cypress,Não,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 10:24:47,QA,Engenheiro,Júnior,3,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,5080,Masculino,Nordeste,Sudeste,Algumas vezes por mês,Prefiro não responder,Ensino Médio Completo,,,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 10:27:50,QA,Analista,Júnior,2,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,3423,Feminino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,,Não,,Nenhum,Foi atraves de um programa de bolsas que a minha faculdade fez em parceria com a empresa
1/9/2025 10:28:14,QA,Engenheiro,Sênior,16,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,16000,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Asiática,Pós-Graduado,,,Não,Não,"Não, mas planejam fazer isso este ano",Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:30:07,QA,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,8900,Masculino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Javascript, Python","Cypress, Locust",Não,Não,Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Site de Vagas
1/9/2025 10:30:10,QA,Engenheiro,Sênior,8,Uso automação de testes mais de 8 horas por semana,Contrato,100% Remoto (Exterior),Não,Dólares Americanos,3343,Masculino,Não moro no Brasil,Outro país,Todos os dias,Branca,Pós-Graduado,JavaScript ,Cypress,Não,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 10:33:30,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4700,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Não,"Sim, retornei com o mesmo salário",Não,Nenhum,Linkedin
1/9/2025 10:34:17,QA,Engenheiro,Sênior,10,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,17400,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,"Python, JavaScript e Java","Robot,  cypress, rest assured",Não,Não,"Não, mas planejam fazer isso este ano",Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:36:33,QA,Analista,Júnior,1,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4160,Masculino,Sudeste,Sul,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,"Javascript, java, apex",Javascript,Não,Não,Não,Nenhum,Linkedin
1/9/2025 10:37:41,Testador,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,4469,Masculino,Centro-Oeste,Centro-Oeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Médio Completo,,,,,,,
1/9/2025 10:42:07,QA,Líder,Pleno,6,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4401,Masculino,Sudeste,Sudeste,Algumas vezes por mês,Negra,Ensino Superior Completo,JavaScript,"Cypress, Cucumber",Sim,Não,Não,Uso Inteligência Artificial para Testar,Estagiei na empresa
1/9/2025 10:42:33,QA,Analista,Pleno,4,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,10,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,Nenhuma,Nenhuma,Não,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 10:43:41,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,8000,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Javascript, Python","Cypress, Postman",Não,Não,Sim,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 10:44:53,QA,Analista,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,7500,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,robot framework,Não,"Sim, retornei com salário maior",Sim,Nenhum,Linkedin
1/9/2025 10:45:22,Testador,Analista,Júnior,2,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,2600,Feminino,Centro-Oeste,Sul,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,,,,,Não,Nenhum,Linkedin
1/9/2025 10:45:38,Testador,Executor,Principal,5,Não uso automação de testes,CLT (Carteira Assinada),100% Presencial,Não,Reais,3141,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 10:45:54,QA,Analista,Sênior,7,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,9000,Masculino,Centro-Oeste,Centro-Oeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,"Cypress, playwright",Vs code,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 10:47:05,QA,Engenheiro,Sênior,9,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,9500,Masculino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Java, python, Javascript, kotlin","Karate DSL, Robot framework, insomnia",Sim,"Sim, retornei com salário maior",Não,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Indicação Interna
1/9/2025 10:47:09,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,4200,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,Cypress,Não,Não,Não,Nenhum,Linkedin
1/9/2025 10:49:12,QA,Especialista,Sênior,9,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,15600,Feminino,Sudeste,Sul,Todos os dias,Branca,Pós-Graduado,,,Sim,Não,,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Fui abordado por Recrutador
1/9/2025 10:51:43,QA,Analista,Júnior,1,Não uso automação de testes,Contrato,100% Presencial,Não,Reais,4500,Feminino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,,,Sim,Não,Não,Testo aplicativos baseados em Inteligência Artificial,Site de Vagas
1/9/2025 10:52:24,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5500,Masculino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Javascript,Cypress,Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 10:52:43,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,5000,Feminino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,Python e Java ,Robot,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 10:53:12,QA,Líder,Sênior,8,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Dólares Australianos,8300,Masculino,Não moro no Brasil,Outro país,Todos os dias,Parda,Ensino Superior Completo,Java script ,Playwright ,Sim,Não,Sim,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 10:55:33,SDET,Engenheiro,Sênior,10,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Exterior),Não,Euros,4862,Masculino,Não moro no Brasil,Outro país,Algumas vezes por mês,Branca,Ensino Superior Completo,Java,Selenium e Restassured,Sim,"Sim, retornei com salário menor",Não,Uso Inteligência Artificial para Testar,Linkedin
